235;57;17;Piojo
236;57;17;Polonuevo
237;57;17;Ponedera
238;57;17;Puerto Colombia
239;57;17;Repelon
240;57;17;Sabanagrande
241;57;17;Sabanalarga
242;57;17;Santa Lucia
243;57;17;Santo Tomas
244;57;17;Soledad
245;57;17;Suan
246;57;17;Tubara
247;57;17;Usiacuri
248;57;20;Achi
249;57;20;Altos Del Rosario
250;57;20;Arenal
251;57;20;Arjona
252;57;20;Arroyohondo
253;57;20;Barranco De Loba
254;57;20;Calamar
255;57;20;Cantagallo
256;57;20;Cicuco
257;57;20;Cordoba
258;57;20;Clemencia
259;57;20;El Carmen De Bolivar
260;57;20;El Guamo
261;57;20;El Peñon
262;57;20;Hatillo De Loba
263;57;20;Magangue
264;57;20;Mahates
265;57;20;Margarita
266;57;20;Maria La Baja
267;57;20;Montecristo
268;57;20;Mompos
269;57;20;Norosi
270;57;20;Morales
271;57;20;Pinillos
272;57;20;Regidor
273;57;20;Rio Viejo
274;57;20;San Cristobal
275;57;20;San Estanislao
276;57;20;San Fernando
277;57;20;San Jacinto
278;57;20;San Jacinto Del Cauca
279;57;20;San Juan Nepomuceno
280;57;20;San Martin De Loba
281;57;20;San Pablo
282;57;20;Santa Catalina
283;57;20;Santa Rosa
284;57;20;Santa Rosa Del Sur
285;57;20;Simiti
286;57;20;Soplaviento
287;57;20;Talaigua Nuevo
288;57;20;Tiquisio
289;57;20;Turbaco
290;57;20;Turbana
291;57;20;Villanueva
292;57;20;Zambrano
293;57;14;Almeida
294;57;14;Aquitania
295;57;14;Arcabuco
296;57;14;Belen
297;57;14;Berbeo
298;57;14;Beteitiva
299;57;14;Boavita
300;57;14;Boyaca
301;57;14;Briceño
302;57;14;Buenavista
303;57;14;Busbanza
304;57;14;Caldas
305;57;14;Campohermoso
306;57;14;Cerinza
307;57;14;Chinavita
308;57;14;Chiquinquira
309;57;14;Chiscas
310;57;14;Chita
311;57;14;Chitaraque
312;57;14;Chivata
313;57;14;Cienega
314;57;14;Combita
315;57;14;Coper
316;57;14;Corrales
317;57;14;Covarachia
318;57;14;Cubara
319;57;14;Cucaita
320;57;14;Cuitiva
321;57;14;Chiquiza
322;57;14;Chivor
323;57;14;Duitama
324;57;14;El Cocuy
325;57;14;El Espino
326;57;14;Firavitoba
327;57;14;Floresta
328;57;14;Gachantiva
329;57;14;Gameza
330;57;14;Garagoa
331;57;14;Guacamayas
332;57;14;Guateque
333;57;14;Guayata
334;57;14;Gsican
335;57;14;Iza
336;57;14;Jenesano
337;57;14;Jerico
338;57;14;Labranzagrande
339;57;14;La Capilla
340;57;14;La Victoria
341;57;14;La Uvita
342;57;14;Villa De Leyva
343;57;14;Macanal
344;57;14;Maripi
345;57;14;Miraflores
346;57;14;Mongua
347;57;14;Mongui
348;57;14;Moniquira
349;57;14;Motavita
350;57;14;Muzo
351;57;14;Nobsa
352;57;14;Nuevo Colon
353;57;14;Oicata
354;57;14;Otanche
355;57;14;Pachavita
356;57;14;Paez
357;57;14;Paipa
358;57;14;Pajarito
359;57;14;Panqueba
360;57;14;Pauna
361;57;14;Paya
362;57;14;Paz De Rio
363;57;14;Pesca
364;57;14;Pisba
365;57;14;Puerto Boyaca
366;57;14;Quipama
367;57;14;Ramiriqui
368;57;14;Raquira
369;57;14;Rondon
370;57;14;Saboya
371;57;14;Sachica
372;57;14;Samaca
373;57;14;San Eduardo
374;57;14;San Jose De Pare
375;57;14;San Luis De Gaceno
376;57;14;San Mateo
377;57;14;San Miguel De Sema
378;57;14;San Pablo De Borbur
379;57;14;Santana
380;57;14;Santa Maria
381;57;14;Santa Rosa De Viterbo
382;57;14;Santa Sofia
383;57;14;Sativanorte
384;57;14;Sativasur
385;57;14;Siachoque
386;57;14;Soata
387;57;14;Socota
388;57;14;Socha
389;57;14;Sogamoso
390;57;14;Somondoco
391;57;14;Sora
392;57;14;Sotaquira
393;57;14;Soraca
394;57;14;Susacon
395;57;14;Sutamarchan
396;57;14;Sutatenza
397;57;14;Tasco
398;57;14;Tenza
399;57;14;Tibana
400;57;14;Tibasosa
401;57;14;Tinjaca
402;57;14;Tipacoque
403;57;14;Toca
404;57;14;Togsi
405;57;14;Topaga
406;57;14;Tota
407;57;14;Tunungua
408;57;14;Turmeque
409;57;14;Tuta
410;57;14;Tutaza
411;57;14;Umbita
412;57;14;Ventaquemada
413;57;14;Viracacha
414;57;14;Zetaquira
415;57;21;Albania
