ds,yhat,yhat_lower,yhat_upper,entidad
2025-01-02,17.0273893378023,-13.532942422595683,51.628724819797775,BancoAlimentaÉ
2025-01-03,28.378049226423478,-2.2858023689049576,61.27404672795563,BancoAlimentaÉ
2025-01-04,19.026835890524318,-11.036789008530246,50.34191090447792,BancoAlimentaÉ
2025-01-05,13.597465984991615,-19.48114574826071,46.76319400331088,BancoAlimentaÉ
2025-01-06,15.742396926875989,-17.691135060979228,47.45064576089115,BancoAlimentaÉ
2025-01-07,18.487747850351347,-13.247061759444783,51.67609960191901,BancoAlimentaÉ
2025-01-08,16.420482508074354,-15.706396938167135,49.809860265884964,BancoAlimentaÉ
2025-01-09,16.354961056772225,-15.137886053426755,48.443901812135515,BancoAlimentaÉ
2025-01-10,27.705620945426137,-5.537386742401165,59.87470278691726,BancoAlimentaÉ
2025-01-11,18.354407609510407,-13.636042711946795,49.35515705651631,BancoAlimentaÉ
2025-01-12,12.925037735431173,-19.483416230542744,44.95048422203781,BancoAlimentaÉ
2025-01-13,15.069968708757829,-17.104261926320902,46.48124575634603,BancoAlimentaÉ
2025-01-14,17.815319663693653,-14.376270740077674,45.49829212341195,BancoAlimentaÉ
2025-01-15,15.748054352851799,-16.48154973840079,46.985788796308164,BancoAlimentaÉ
2025-01-16,15.682532933003825,-15.527894819286164,48.287020503203436,BancoAlimentaÉ
2025-01-17,27.033192853091478,-4.332395259407355,57.95869180600098,BancoAlimentaÉ
2025-01-18,17.681979548629045,-14.384598785808993,50.68498185420405,BancoAlimentaÉ
2025-01-19,12.252609674535965,-17.729306216196207,44.679511350868594,BancoAlimentaÉ
2025-01-20,14.397540647848079,-15.675236841920343,46.78518640753648,BancoAlimentaÉ
2025-01-21,17.14289160281278,-16.484672325347727,49.46691524099767,BancoAlimentaÉ
2025-01-22,15.075626326203725,-17.34023821088641,49.81616848052258,BancoAlimentaÉ
2025-01-23,15.010104940624196,-16.47570807979188,47.369257372427164,BancoAlimentaÉ
2025-01-24,26.360764894962216,-5.227718721462703,58.24544113457131,BancoAlimentaÉ
2025-01-25,17.00955162477993,-14.08998789370447,49.150582377834795,BancoAlimentaÉ
2025-01-26,11.580181784905154,-19.203210268643883,45.57619348910738,BancoAlimentaÉ
2025-01-27,13.725112792468217,-18.671098281065277,43.93722902346478,BancoAlimentaÉ
2025-01-28,16.470463781673196,-16.91794470137812,48.72679818476458,BancoAlimentaÉ
2025-01-29,14.403198505094952,-17.70942922038427,47.05606997525701,BancoAlimentaÉ
2025-01-30,14.337677119508962,-15.031924107041961,46.70375668624815,BancoAlimentaÉ
2025-01-31,25.69125660203398,-4.332125452799696,60.24407613011677,BancoAlimentaÉ
2025-02-01,16.34296286005332,-15.611128672154626,48.20299508029168,BancoAlimentaÉ
2025-02-02,10.916512548392703,-21.16318137974999,43.579288520438034,BancoAlimentaÉ
2025-02-03,13.064363084156247,-19.347017981111538,44.03727719041209,BancoAlimentaÉ
2025-02-04,15.812633601570528,-16.318319592598797,47.83852076080682,BancoAlimentaÉ
2025-02-05,13.748287853174553,-17.77755372417764,46.68909376631962,BancoAlimentaÉ
2025-02-06,13.685685995793728,-18.69132958705398,44.113396349197956,BancoAlimentaÉ
2025-02-07,25.039265478316235,-8.06969970477665,57.00503556476236,BancoAlimentaÉ
2025-02-08,15.690971736319009,-14.89785766458895,48.13760452324311,BancoAlimentaÉ
2025-02-09,10.270621198955052,-23.036826567539006,42.19178712472147,BancoAlimentaÉ
2025-02-10,12.424571509044274,-19.895659892404954,48.16260295682257,BancoAlimentaÉ
2025-02-11,15.178941800730938,-17.424373309462318,50.22050861496129,BancoAlimentaÉ
2025-02-12,13.120695826654766,-19.514467743798136,45.54957128982349,BancoAlimentaÉ
2025-02-13,13.064193743583896,-18.781463315670333,45.716055921606745,BancoAlimentaÉ
2025-02-14,24.42387300039721,-8.113763286979747,57.925646147954446,BancoAlimentaÉ
2025-02-15,15.081679032684697,-17.66469094837476,45.11216962917437,BancoAlimentaÉ
2025-02-16,9.661328495352397,-24.857077022733495,43.32295801248611,BancoAlimentaÉ
2025-02-17,11.8152788054323,-18.452579580458796,43.916154732585674,BancoAlimentaÉ
2025-02-18,14.577896548420222,-20.297900968725884,46.33158602313905,BancoAlimentaÉ
2025-02-19,12.527898025623971,-19.373945571282988,43.50141656470895,BancoAlimentaÉ
2025-02-20,12.479643393863258,-19.60764316617398,42.763586635974015,BancoAlimentaÉ
2025-02-21,23.847570101967698,-6.872814253802071,56.12229690979384,BancoAlimentaÉ
2025-02-22,14.513623585565785,-19.123832056838076,46.80064854968818,BancoAlimentaÉ
2025-02-24,11.263718260905323,-20.07196982315984,46.92339488972542,BancoAlimentaÉ
2025-02-25,14.02633600389507,-20.074874658817176,44.40458633369291,BancoAlimentaÉ
2025-02-26,11.976337481093175,-22.12580111927177,44.7956234517821,BancoAlimentaÉ
2025-02-27,11.928082849318177,-20.648895947867267,44.18340358093596,BancoAlimentaÉ
2025-02-28,23.29600955744868,-8.470478875065428,53.77033958102459,BancoAlimentaÉ
2025-03-01,13.972233427031473,-18.85138100528795,45.50915819295489,BancoAlimentaÉ
2025-03-02,8.570300727014892,-24.827528062213307,40.75667613299915,BancoAlimentaÉ
2025-03-03,10.742668874380728,-21.86988362163938,41.29609903620642,BancoAlimentaÉ
2025-03-04,13.515457003377966,-18.696000910662356,44.65476214544106,BancoAlimentaÉ
2025-03-05,11.475628866584398,-22.12876884402338,42.95448868455641,BancoAlimentaÉ
2025-03-06,11.437544620802944,-20.060174206759356,43.10926953199548,BancoAlimentaÉ
